,plotly/plotly.js,highcharts/highcharts,apache/echarts
2021-06-30,15,8.0,7.0
2021-07-01,0,1.4000000000000004,5.0
2021-07-02,0,15.76,7.0
2021-07-03,0,-1.024,3.0
2021-07-04,0,-2.3728000000000016,0.0
2021-07-05,7,18.638911999999998,4.0
2021-07-06,21,17.0447616,7.0
2021-07-07,35,5.26838784,3.0
2021-07-08,17,2.2902205439999985,9.0
2021-07-09,17,13.220041420799998,5.0
2021-07-10,0,-5.3986993152,2.0
2021-07-11,0,-3.6527100928000014,4.0
2021-07-12,19,7.655391948799998,8.0
2021-07-13,10,3.237624320000001,13.0
2021-07-14,13,5.374284288000001,5.0
2021-07-15,0,21.1843535872,13.0
2021-07-16,2,1.0181563392000008,10.0
2021-07-17,25,-3.8982203392000008,0.0
2021-07-18,1,-1.9642760192000015,1.0
2021-07-19,17,3.941437849599999,1.0
2021-07-20,12,1.3185766399999999,11.0
2021-07-21,11,2.5456440320000002,8.0
2021-07-22,12,1.5294907392,4.0
2021-07-23,12,6.753104486400002,9.0
2021-07-24,2,-3.1118069759999987,0.0
2021-07-25,0,0.5642139647999993,1.0
2021-07-26,6,3.6957874175999996,0.0
2021-07-27,4,5.1668094976,4.0
2021-07-28,24,3.5754602496,3.0
2021-07-29,11,2.5594179584,3.0
2021-07-30,16,0.6926899199999998,1.0
2021-07-31,0,5.1288955904,5.0
2021-08-01,0,2.4914264064,0.0
2021-08-02,1,5.718373376,1.0
2021-08-03,13,2.0975828992,1.0
2021-08-04,17,2.441426944,4.0
2021-08-05,10,1.5497162751999998,2.0
2021-08-06,3,1.8229835775999996,2.0
2021-08-07,0,-2.058428928,0.0
2021-08-08,0,-1.1938660352000001,0.0
2021-08-09,0,0.14913822720000014,0.0
2021-08-10,39,5.1992299520000005,0.0
2021-08-11,8,2.2798138368000007,1.0
2021-08-12,12,6.388292608,0.0
2021-08-13,9,109.57079552,1.0
2021-08-14,1,-23.566564249599995,0.0
2021-08-15,0,-9.701922201600008,1.0
2021-08-16,15,10.113556479999996,0.0
2021-08-17,6,11.634848768,0.0
2021-08-18,8,5.730035097599998,0.0
2021-08-19,0,7.356193689599998,4.0
2021-08-20,0,-4.630371737600002,5.0
2021-08-21,0,-5.230154547199994,3.0
2021-08-22,0,-3.639012044799997,8.0
2021-08-23,10,21.33552128,1.0
2021-08-24,5,3.078345728000002,7.0
2021-08-25,18,1.2671097855999998,2.0
2021-08-26,14,8.2224671744,2.0
2021-08-27,8,6.474033254400001,2.0
2021-08-28,0,-4.567931392,3.0
2021-08-29,0,-2.3946944512000017,0.0
2021-08-30,10,3.342410239999999,0.0
2021-08-31,17,8.718137344000002,0.0
2021-09-01,9,2.3561136128000015,1.0
2021-09-02,9,10.0536121344,5.0
2021-09-03,14,6.7903374336,10.0
2021-09-04,0,-4.3331770367999995,0.0
2021-09-05,0,-2.2258028544000013,2.0
2021-09-06,0,9.5726336,1.0
2021-09-07,2,5.717726720000001,5.0
2021-09-08,2,8.451357696,4.0
2021-09-09,0,1.6837467135999997,7.0
2021-09-10,0,4.590349721599999,3.0
2021-09-11,0,-3.5596623871999995,0.0
2021-09-12,0,-1.9229036544000007,0.0
2021-09-13,7,14.73791488,5.0
2021-09-14,5,0.8222330880000008,7.0
2021-09-15,7,12.9233662976,5.0
2021-09-16,3,-0.9178674175999992,3.0
2021-09-17,0,29.7710277632,3.0
2021-09-18,0,-8.4544937984,0.0
2021-09-19,0,-3.9238956032000027,0.0
2021-09-20,0,6.500052479999998,0.0
2021-09-21,0,34.347358208,1.0
2021-09-22,0,4.213321113600001,4.0
2021-09-23,4,2.6935925759999986,1.0
2021-09-24,0,2.9379577855999983,2.0
2021-09-25,0,-5.303295897599999,0.0
2021-09-26,0,-3.236115763200001,0.0
2021-09-27,1,17.94586112,0.0
2021-09-28,1,3.3835320320000015,2.0
2021-09-29,2,23.269956710400002,5.0
2021-09-30,13,12.691610316800002,0.0
2021-10-01,19,4.9852114944,0.0
2021-10-02,0,-6.691302912000001,0.0
2021-10-03,0,-3.7394241536000017,1.0
2021-10-04,9,15.432998399999999,2.0
2021-10-05,3,10.414842880000002,0.0
2021-10-06,0,14.746202624,3.0
2021-10-07,2,0.5198843904000006,0.0
2021-10-08,16,14.4758688768,2.0
2021-10-09,3,-4.094144614399999,4.0
2021-10-10,0,-4.227995955200002,0.0
2021-10-11,2,1.3634022399999983,5.0
2021-10-12,2,3.2209008640000003,7.0
2021-10-13,0,3.894936780800001,2.0
2021-10-14,0,1.805750681600001,4.0
2021-10-15,0,-0.7591788543999995,10.0
2021-10-16,0,-1.8780332031999991,0.0
2021-10-17,0,0.8373186560000003,4.0
2021-10-18,27,30.9295602688,1.0
2021-10-19,12,8.943007232000001,1.0
2021-10-20,4,9.7360932864,4.0
2021-10-21,2,10.6157787136,2.0
2021-10-22,6,3.2326505471999987,0.0
2021-10-23,0,-3.614731776000002,0.0
2021-10-24,0,1.325310259199998,1.0
2021-10-25,0,-2.5170672640000014,10.0
2021-10-26,7,6.450854195200001,3.0
2021-10-27,1,-0.6898997247999983,6.0
2021-10-28,0,13.491172761600001,0.0
2021-10-29,8,-2.6875055103999985,0.0
2021-10-30,0,-1.6437895168,0.0
2021-10-31,0,-1.7171553280000003,0.0
2021-11-01,0,9.9121288192,5.0
2021-11-02,0,24.985862656000002,2.0
2021-11-03,6,0.9157282816000007,2.0
2021-11-04,0,6.139391590399998,6.0
2021-11-05,4,4.1245063168,0.0
2021-11-06,0,-2.530907750400001,0.0
2021-11-07,0,-0.8958512128000016,0.0
2021-11-08,0,19.6634423296,1.0
2021-11-09,0,11.965060608000002,2.0
2021-11-10,0,-0.6531733503999995,0.0
2021-11-11,13,14.3514313728,1.0
2021-11-12,3,-1.3854897151999994,0.0
2021-11-13,0,7.684044697599999,0.0
2021-11-14,0,-3.9975346176000004,0.0
2021-11-15,0,1.0145636351999983,3.0
2021-11-16,1,33.1220938752,5.0
2021-11-17,10,0.8781079552000026,0.0
2021-11-18,4,-3.1465582592000025,4.0
2021-11-19,4,2.0341021695999997,7.0
2021-11-20,2,-3.7641496576,0.0
2021-11-21,0,2.7870627839999997,1.0
2021-11-22,16,7.3886764032,2.0
2021-11-23,8,9.4381218816,4.0
2021-11-24,3,5.4083953664000015,7.0
2021-11-25,2,-1.4541266943999993,4.0
2021-11-26,3,5.242903039999999,10.0
2021-11-27,0,-2.2380383232,0.0
2021-11-28,0,-1.015705702400001,0.0
2021-11-29,2,12.47305984,12.0
2021-11-30,0,-0.903967231999999,3.0
2021-12-01,2,15.45182464,2.0
2021-12-02,6,-0.09132523519999936,0.0
2021-12-03,6,10.5963648,3.0
2021-12-04,0,-4.7121692672,0.0
2021-12-05,2,-2.458480435200001,1.0
2021-12-06,3,25.375234457599998,0.0
2021-12-07,1,6.369524121600001,4.0
2021-12-08,2,1.2579369983999982,3.0
2021-12-09,10,6.5969763328,9.0
2021-12-10,8,-0.8245609472000002,5.0
2021-12-11,0,1.5939532799999996,4.0
2021-12-12,0,-3.1413165056000008,4.0
2021-12-13,0,20.13705216,2.0
2021-12-14,0,1.1931868160000025,2.0
2021-12-15,3,2.7029394432,2.0
2021-12-16,2,5.3255953408,4.0
2021-12-17,0,16.1493988352,3.0
2021-12-18,0,-6.1323393024,0.0
2021-12-19,0,-3.0172015616000016,0.0
2021-12-20,10,2.9811118079999988,7.0
2021-12-21,0,9.520157696000002,6.0
2021-12-22,2,5.011894067200001,1.0
2021-12-23,1,2.2510840831999994,3.0
2021-12-24,1,-3.2193092608000002,7.0
2021-12-25,0,-1.8428583935999994,0.0
2021-12-26,0,-1.2483630079999999,0.0
2021-12-27,0,-0.7612032000000004,0.0
2021-12-28,0,-0.6121344,3.0
2021-12-29,0,4.490087424,7.0
2021-12-30,0,7.619318067200001,4.0
2021-12-31,0,-2.398550425599999,2.0
2022-01-01,0,-1.0348161024000007,0.0
2022-01-02,0,-0.6000000000000004,0.0
2022-01-03,3,2.5699199999999998,0.0
2022-01-04,5,20.068032,13.0
2022-01-05,5,2.2915072,8.0
2022-01-06,6,13.551720959999999,8.0
2022-01-07,4,4.73936384,11.0
2022-01-08,1,-4.590432153600001,4.0
2022-01-09,0,-2.4487424000000018,2.0
2022-01-10,3,0.29026303999999903,8.0
2022-01-11,0,1.2882621439999997,2.0
2022-01-12,3,3.1793133568000007,1.0
2022-01-13,8,17.8093874176,6.0
2022-01-14,0,29.887656243200002,6.0
2022-01-15,0,-9.3477280768,3.0
2022-01-16,0,-1.1701591040000032,0.0
2022-01-17,0,-0.1748198400000014,4.0
2022-01-18,0,13.291580415999999,2.0
2022-01-19,8,-2.0390714368000005,2.0
2022-01-20,0,1.7123109887999988,5.0
