,dropwizard/dropwizard,apache/tomee,spring-projects/spring-boot
2016-11-21,2,0,13
2016-11-22,3,1,39
2016-11-23,4,2,15
2016-11-24,0,0,24
2016-11-25,0,0,16
2016-11-26,1,0,0
2016-11-27,2,0,0
2016-11-28,2,0,24
2016-11-29,0,0,32
2016-11-30,0,0,31
2016-12-01,0,0,36
2016-12-02,0,0,14
2016-12-03,0,1,0
2016-12-04,0,0,0
2016-12-05,0,2,13
2016-12-06,0,2,6
2016-12-07,2,0,0
2016-12-08,0,3,16
2016-12-09,1,1,0
2016-12-10,0,0,0
2016-12-11,1,0,0
2016-12-12,6,0,6
2016-12-13,2,0,11
2016-12-14,2,1,20
2016-12-15,3,0,32
2016-12-16,0,1,36
2016-12-17,0,0,0
2016-12-18,0,0,0
2016-12-19,0,0,20
2016-12-20,0,1,21
2016-12-21,0,0,36
2016-12-22,0,1,31
2016-12-23,1,0,5
2016-12-24,1,0,6
2016-12-25,0,0,5
2016-12-26,0,0,4
2016-12-27,0,0,34
2016-12-28,7,1,19
2016-12-29,2,0,12
2016-12-30,0,1,38
2016-12-31,0,0,1
2017-01-01,0,0,0
2017-01-02,0,2,0
2017-01-03,0,3,57
2017-01-04,0,0,30
2017-01-05,0,0,33
2017-01-06,0,1,28
2017-01-07,0,1,0
2017-01-08,0,0,7
2017-01-09,0,0,3
2017-01-10,1,1,15
2017-01-11,1,2,0
2017-01-12,0,0,8
2017-01-13,14,0,22
2017-01-14,0,0,4
2017-01-15,0,0,4
2017-01-16,1,1,34
2017-01-17,3,0,46
2017-01-18,0,0,22
2017-01-19,0,0,45
2017-01-20,0,1,33
2017-01-21,0,0,0
2017-01-22,0,0,6
2017-01-23,6,0,15
2017-01-24,1,0,70
2017-01-25,0,1,27
2017-01-26,0,6,40
2017-01-27,5,1,3
2017-01-28,0,0,6
2017-01-29,0,0,0
2017-01-30,4,1,20
2017-01-31,0,2,3
2017-02-01,3,0,13
2017-02-02,6,2,6
2017-02-03,0,0,2
2017-02-04,0,0,0
2017-02-05,0,0,6
2017-02-06,3,0,21
2017-02-07,3,0,23
2017-02-08,1,2,34
2017-02-09,2,1,15
2017-02-10,2,2,2
2017-02-11,2,0,0
2017-02-12,0,0,6
2017-02-13,4,1,10
2017-02-14,3,1,16
2017-02-15,0,0,11
2017-02-16,0,0,4
2017-02-17,0,0,4
2017-02-18,1,0,0
2017-02-19,0,0,3
2017-02-20,1,1,9
2017-02-21,1,1,8
2017-02-22,0,0,44
2017-02-23,0,0,0
2017-02-24,2,0,15
2017-02-25,0,0,0
2017-02-26,0,0,2
2017-02-27,3,0,8
2017-02-28,0,0,20
