,pallets/flask,expressjs/express,django/django
2010-11-04,0,0,13.0
2010-11-05,0,2,0.0
2010-11-06,0,0,10.0
2010-11-07,1,0,9.0
2010-11-08,1,1,2.0
2010-11-09,0,0,5.0
2010-11-10,0,0,0.0
2010-11-11,0,0,21.0
2010-11-12,0,5,9.0
2010-11-13,0,4,7.0
2010-11-14,0,0,5.0
2010-11-15,0,0,0.0
2010-11-16,0,0,10.0
2010-11-17,0,7,16.0
2010-11-18,0,1,6.0
2010-11-19,2,0,9.0
2010-11-20,0,3,13.0
2010-11-21,0,0,15.0
2010-11-22,0,1,7.0
2010-11-23,0,28,4.0
2010-11-24,0,3,4.0
2010-11-25,0,19,1.0
2010-11-26,0,0,15.0
2010-11-27,0,0,8.0
2010-11-28,0,3,6.0
2010-11-29,1,1,3.0
2010-11-30,0,2,4.0
2010-12-01,1,0,5.0
2010-12-02,0,6,11.0
2010-12-03,0,0,3.0
2010-12-04,0,0,20.0
2010-12-05,0,17,11.0
2010-12-06,1,1,7.0
2010-12-07,1,11,2.0
2010-12-08,0,1,6.0
2010-12-09,0,0,3.0
2010-12-10,0,6,1.0
2010-12-11,0,0,3.0
2010-12-12,0,0,23.0
2010-12-13,0,3,5.0
2010-12-14,0,1,4.0
2010-12-15,0,1,1.0
2010-12-16,0,1,2.0
2010-12-17,0,0,0.0
2010-12-18,0,1,31.0
2010-12-19,0,0,9.0
2010-12-20,0,9,0.0
2010-12-21,0,1,16.0
2010-12-22,0,4,11.0
2010-12-23,3,2,6.0
2010-12-24,0,0,1.0
2010-12-25,0,0,3.0
2010-12-26,0,0,4.0
2010-12-27,0,0,7.0
2010-12-28,0,8,9.0
2010-12-29,0,4,14.0
2010-12-30,0,0,2.0
2010-12-31,1,8,6.0
2011-01-01,0,1,1.0
2011-01-02,0,0,5.0
2011-01-03,0,2,7.0
2011-01-04,0,0,4.0
2011-01-05,0,0,6.0
2011-01-06,0,1,0.0
2011-01-07,1,0,0.0
2011-01-08,0,0,8.0
2011-01-09,0,0,1.0
2011-01-10,0,1,2.0
2011-01-11,0,0,2.0
2011-01-12,0,1,2.0
2011-01-13,2,3,10.0
2011-01-14,0,0,4.0
2011-01-15,0,0,10.0
2011-01-16,2,0,7.0
2011-01-17,0,0,5.0
2011-01-18,0,0,3.0
2011-01-19,0,6,6.0
2011-01-20,3,1,4.0
2011-01-21,0,0,25.0
2011-01-22,0,0,3.0
2011-01-23,0,0,0.0
2011-01-24,4,1,11.0
2011-01-25,0,5,6.0
2011-01-26,0,0,14.0
2011-01-27,0,0,10.0
2011-01-28,0,2,6.0
2011-01-29,0,1,3.0
2011-01-30,0,0,11.0
2011-01-31,0,1,3.0
2011-02-01,0,3,9.0
2011-02-02,0,1,5.0
2011-02-03,0,0,2.0
2011-02-04,0,9,8.0
2011-02-05,2,0,8.0
2011-02-06,1,0,7.0
2011-02-07,0,4,7.0
2011-02-08,0,6,6.0
2011-02-09,0,2,7.0
2011-02-10,1,2,3.0
2011-02-11,0,0,1.0
2011-02-12,0,0,20.0
2011-02-13,0,0,4.0
2011-02-14,0,1,11.0
2011-02-15,0,2,2.0
2011-02-16,0,0,9.0
2011-02-17,2,0,4.0
2011-02-18,0,1,4.0
