,facebook/react,jquery/jquery,angular/angular
2022-09-18,0,0,0.0
2022-09-19,2,2,16.0
2022-09-20,0,0,0.3999999999999986
2022-09-21,1,0,4.079999999999999
2022-09-22,2,0,-1.046000000000001
2022-09-23,5,0,6.387400000000001
2022-09-24,1,0,-1.1416929999999996
2022-09-25,0,0,-0.6611381999999991
2022-09-26,0,0,1.5160930850000007
2022-09-27,3,0,6.414272036750001
2022-09-28,2,0,0.8881960021437503
2022-09-29,7,0,15.27122664235
2022-09-30,8,0,2.9495248635703115
2022-10-01,2,0,-1.520849191109375
2022-10-02,0,0,-0.9202582427515623
2022-10-03,8,4,3.380345020000002
2022-10-04,21,0,11.11570297521875
2022-10-05,9,0,5.22286076131875
2022-10-06,4,0,24.32476220371719
2022-10-07,1,0,6.434990805428123
2022-10-08,0,0,-2.864140205653125
2022-10-09,0,0,-1.6236808126796871
2022-10-10,1,1,12.862638815000002
2022-10-11,4,1,14.7108078054375
2022-10-12,2,0,5.940549134918751
2022-10-13,7,0,2.348179350959375
2022-10-14,11,0,-2.0972800686578115
2022-10-15,4,0,-1.3724502960906224
2022-10-16,1,0,-0.8707039503593728
2022-10-17,12,1,10.372570790000003
2022-10-18,12,0,-1.6215910809687495
2022-10-19,6,0,14.059101414481251
2022-10-20,0,0,-1.0978637915015632
2022-10-21,7,0,1.874281262098438
2022-10-22,6,0,-0.9917785126796874
2022-10-23,8,0,-0.6182196374999985
2022-10-24,9,1,4.530055591250001
2022-10-25,3,0,5.1192141193281255
2022-10-26,0,0,5.8546949158546875
2022-10-27,19,0,0.6933955710156245
2022-10-28,2,0,3.041855310195313
2022-10-29,3,0,-0.9311625415828123
2022-10-30,1,0,-0.5693446201078116
2022-10-31,1,0,-0.40258280624999915
2022-11-01,5,0,4.678578669921876
2022-11-02,2,0,0.23214896047656286
2022-11-03,5,0,1.4827932511750004
2022-11-04,9,0,20.490196621217187
2022-11-05,0,0,-2.3768834571343764
2022-11-06,0,0,-1.1368416601437503
2022-11-07,7,0,4.2782481875
2022-11-08,6,0,4.965223506250002
2022-11-09,5,0,4.751288963671875
2022-11-10,7,0,-0.3626522306953124
2022-11-11,4,0,2.0951844001828133
2022-11-12,0,0,-0.9382910283999991
2022-11-13,2,0,-0.6263614657546862
2022-11-14,2,1,4.662696443750001
2022-11-15,6,0,0.2285199324218754
2022-11-16,6,0,2.447521419226563
2022-11-17,15,1,19.354117272940623
2022-11-18,3,0,1.639944983018749
2022-11-19,1,0,-1.5238500415828131
2022-11-20,0,0,-0.9191108701078126
2022-11-21,14,1,9.355769256250001
2022-11-22,10,0,89.49659370117188
2022-11-23,1,0,11.03744908555468
2022-11-24,6,1,-6.791625766582817
2022-11-25,1,0,-4.006062602920314
2022-11-26,0,0,-2.846205302781242
2022-11-27,0,0,-2.065752285143743
2022-11-28,5,1,15.352868150000004
2022-11-29,5,0,17.918388248593754
2022-11-30,2,0,1.9473273689687502
2022-12-01,8,1,4.005269845901563
2022-12-02,7,0,11.903861596745312
2022-12-03,0,0,1.4061027500000005
2022-12-04,0,0,2.084319037500001
2022-12-05,8,0,11.314666901250002
2022-12-06,7,0,12.529306732484375
2022-12-07,4,0,5.990304168560938
2022-12-08,4,0,0.41167316990156255
2022-12-09,5,0,15.209089396175
2022-12-10,0,0,-1.900726434970312
2022-12-11,0,0,-1.7495518850656233
2022-12-12,7,1,12.849944849043752
2022-12-13,6,0,9.729040214403128
2022-12-14,14,0,6.483313668048438
2022-12-15,10,0,-0.3242496564296875
2022-12-16,3,0,-1.5423244606203113
2022-12-17,1,0,-1.0190360751234355
2022-12-18,2,0,-0.7729804811265603
2022-12-19,2,1,70.49196949996406
2022-12-20,15,1,-7.517772349718755
2022-12-21,13,0,-1.5535709829406263
2022-12-22,13,0,-2.4325884400718762
2022-12-23,3,0,-0.651763798854682
2022-12-24,0,0,0.6819130449281288
2022-12-25,0,0,-1.2208278874999972
2022-12-26,0,0,-0.9383859337499976
2022-12-27,0,0,-0.7833367491093732
2022-12-28,0,0,-0.6759476725515606
2022-12-29,0,0,-0.06453213853124981
2022-12-30,0,0,-0.05421542632187484
2022-12-31,0,0,-0.03175570551562491
2023-01-01,0,0,-0.02753547856718743
2023-01-02,0,0,6.983202294928125
2023-01-03,3,0,1.2999999999999994
2023-01-04,13,0,16.485
2023-01-05,6,0,13.010499999999999
2023-01-06,1,0,-1.4666375000000014
2023-01-07,0,0,-1.4136422500000005
2023-01-08,0,0,-0.9481300874999987
2023-01-09,11,0,1.2835978512500024
2023-01-10,10,0,16.224666453890627
2023-01-11,12,0,16.72993163246719
2023-01-12,11,0,16.9189735174125
2023-01-13,8,0,7.321776115404686
2023-01-14,4,0,-3.060547101054688
2023-01-15,1,0,-1.7662951275359358
2023-01-16,2,0,-1.2789098549999969
2023-01-17,5,0,5.992569800218753
2023-01-18,5,0,6.469236244912501
2023-01-19,15,0,0.1937654970921885
2023-01-20,9,0,1.767524882754688
2023-01-21,0,0,-1.0358659938906243
2023-01-22,0,0,-0.5625046278953114
2023-01-23,8,2,1.6521069125000007
2023-01-24,8,0,18.52282702625
2023-01-25,11,0,9.779597963890623
2023-01-26,5,0,5.690988098123436
2023-01-27,3,0,4.957566464931249
2023-01-28,1,0,-1.8723236441187494
2023-01-29,0,0,-1.1486888326078109
2023-01-30,11,0,-0.8304666299999981
2023-01-31,27,0,1.338567495218752
2023-02-01,11,3,-0.7498333573687486
2023-02-02,13,0,24.454718388129688
2023-02-03,10,0,-0.8119886083062515
2023-02-04,0,0,-1.5004940113968757
2023-02-05,0,0,-0.8935254677515629
2023-02-06,7,0,11.400113475000001
2023-02-07,14,0,1.3335688575000004
2023-02-08,12,0,8.77957956146875
2023-02-09,11,0,1.2025358636781247
2023-02-10,18,0,9.655154782109376
2023-02-11,0,0,-2.0044964394296874
2023-02-12,1,0,-1.010217105071874
2023-02-13,9,1,6.290734607500001
2023-02-14,14,1,10.7446412800625
2023-02-15,4,0,1.027801580521875
2023-02-16,20,0,12.661557085985937
2023-02-17,10,0,15.74363837684375
2023-02-18,0,0,-2.006715250779688
2023-02-19,0,0,-1.748909965395312
2023-02-20,8,0,0.8687747262500016
2023-02-21,8,0,7.934351916390628
2023-02-22,4,0,6.308075012310939
2023-02-23,2,0,3.2001641080218755
2023-02-24,3,0,3.470173515173438
2023-02-25,3,0,-1.4721032660343742
2023-02-26,0,0,-0.8649224336624988
2023-02-27,7,0,13.476209142464064
2023-02-28,5,0,21.191827757718748
2023-03-01,7,0,11.7319440952875
2023-03-02,7,0,6.79258527930156
2023-03-03,22,0,9.209724133384373
2023-03-04,11,0,-2.8682078277578116
2023-03-05,3,0,-1.7318851876796852
