,facebook/docusaurus,docsifyjs/docsify,mkdocs/mkdocs
2021-07-07,2.0,0,2
2021-07-08,4.4,0,3
2021-07-09,1.29,0,0
2021-07-10,-1.5439999999999998,0,0
2021-07-11,-0.6928249999999996,0,0
2021-07-12,4.561247,0,1
2021-07-13,6.184349525,0,5
2021-07-14,2.83152039,0,2
2021-07-15,1.8661176102187502,0,2
2021-07-16,2.0297652684562504,0,0
2021-07-17,-1.9674484664609375,0,1
2021-07-18,-1.758391552198437,0,3
2021-07-19,-0.06266726874999984,0,0
2021-07-20,1.920359301171875,0,0
2021-07-21,-0.6188425052890629,0,0
2021-07-22,1.8806614622937496,0,0
2021-07-23,3.4973862055249993,0,0
2021-07-24,-1.1909656737421876,0,0
2021-07-25,-0.2398978954296873,0,0
2021-07-26,-0.9550910244828124,0,0
2021-07-27,5.449497349484375,0,0
2021-07-28,7.801722825220312,0,1
2021-07-29,0.07021415978593737,0,0
2021-07-30,0.18399895522031295,3,0
2021-07-31,-2.3183469597765622,1,0
2021-08-01,-1.2356975566796873,0,0
2021-08-02,4.194502195001562,0,0
2021-08-03,-1.0995041807328128,1,0
2021-08-04,4.70788276190625,1,0
2021-08-05,2.4115606704468746,0,0
2021-08-06,3.353474679359375,0,0
2021-08-07,-1.972727553228125,0,0
2021-08-08,-1.655349802198437,0,0
2021-08-09,-0.9592012312499998,0,0
2021-08-10,6.312897717421875,0,0
2021-08-11,7.3675742620703115,0,0
2021-08-12,0.8919644924234369,0,0
2021-08-13,-0.2644085682249999,0,0
2021-08-14,-1.4832721405078124,0,0
2021-08-15,-0.6195439461624996,0,0
2021-08-16,-1.2580644507328123,0,0
2021-08-17,7.20090170875,0,0
2021-08-18,-2.0059373173593755,0,0
2021-08-19,2.371637233464062,0,0
2021-08-20,5.893909350093749,0,3
2021-08-21,-3.3585853527109375,0,0
2021-08-22,0.5684912697859381,0,0
2021-08-23,-1.4820772799984374,0,3
2021-08-24,-0.8387034657328124,0,0
2021-08-25,-0.5958564578750003,0,0
2021-08-26,9.533054982371874,0,0
2021-08-27,-2.2881889702953133,1,0
2021-08-28,-0.5779091120562498,0,0
2021-08-29,-1.1465818533624998,0,0
2021-08-30,6.40212156646875,0,1
2021-08-31,1.4759681735343744,0,0
2021-09-01,1.7623086250000002,0,0
2021-09-02,4.72092615,0,0
2021-09-03,3.7598571960937495,0,0
2021-09-04,-3.61235987284375,0,0
2021-09-05,-1.6234571674984366,0,0
2021-09-06,-1.0559262794828124,0,0
2021-09-07,-0.7692688123593753,0,1
2021-09-08,1.3945723578078122,0,1
2021-09-09,-0.013507473743750387,0,0
2021-09-10,-0.8081715865406254,1,1
2021-09-11,3.569779090010937,0,0
2021-09-12,-1.4349088926296878,0,0
