,moby/moby,containerd/containerd,canonical/lxd
2015-11-05,47.0,2.0,11
2015-11-06,23.6,5.0,11
2015-11-07,2.639999999999999,-1.25,0
2015-11-08,6.503999999999996,-1.875,0
2015-11-09,29.9968,-0.703125,2
2015-11-10,31.547007999999998,2.5859375,11
2015-11-11,23.5283584,-1.783203125,6
2015-11-12,23.911925759999995,-0.5849609375,2
2015-11-13,21.994917376,5.64862060546875,0
2015-11-14,6.499463475199999,-3.249786376953125,0
2015-11-15,-2.478216499200002,-0.923675537109375,0
2015-11-16,2.9869754367999963,-0.458343505859375,6
2015-11-17,30.9322363904,-0.28271484375,23
2015-11-18,16.1688558592,-0.203338623046875,20
2015-11-19,17.6997203968,-0.1557769775390625,7
2015-11-20,21.6142701568,-0.0966796875,2
2015-11-21,-4.243037081599999,-0.07855224609375,0
2015-11-22,-5.5739610112000015,-0.065460205078125,0
2015-11-23,23.4300607488,0.0,7
2015-11-24,21.6182480896,0.0,24
2015-11-25,27.8995355648,0.0,15
2015-11-26,3.440098304000001,0.0,8
2015-11-27,-9.062966784,0.0,8
2015-11-28,-1.7423821824,0.0,0
2015-11-29,-4.4460272640000005,0.0,0
2015-11-30,26.333992447999997,2.0,0
2015-12-01,15.312836198400003,4.0,10
2015-12-02,47.653653504000005,0.25,2
2015-12-03,19.758653747200004,3.75,0
2015-12-04,24.160713727999998,6.234375,14
2015-12-05,-8.346766131200003,-6.1875,1
2015-12-06,-2.5027319808000055,-1.919921875,0
2015-12-07,20.428020735999997,9.923828125,17
2015-12-08,17.2595204096,5.77703857421875,11
2015-12-09,64.17325056,-0.9071044921875,16
2015-12-10,2.2765988864000057,2.9169158935546875,8
2015-12-11,3.624593715199998,1.1728973388671875,16
2015-12-12,-5.295314022400001,-6.528411865234375,0
2015-12-13,1.3818799103999986,-2.498748779296875,0
2015-12-14,28.546910003199997,5.53369140625,13
2015-12-15,33.8960576512,6.460479736328125,5
2015-12-16,33.1908963328,2.8317718505859375,24
2015-12-17,8.040251596800005,6.655853271484375,7
2015-12-18,7.449455001599999,1.4659576416015625,13
2015-12-19,-0.19230197760000145,-6.6990203857421875,12
2015-12-20,3.528608358399996,-4.1722412109375,1
2015-12-21,17.478886707199997,-2.09619140625,13
2015-12-22,37.358572544,0.588531494140625,0
2015-12-23,16.259718553600003,-2.0475311279296875,2
2015-12-24,-4.399348326399998,-1.0067901611328125,2
2015-12-25,-7.6721801216,0.364349365234375,0
2015-12-26,-5.1221638144,-0.9071044921875,1
2015-12-27,0.6608975871999991,-0.3258819580078125,1
2015-12-28,21.9134984192,-0.125335693359375,0
2015-12-29,33.0270537728,-0.0712890625,0
2015-12-30,20.634571673600004,-0.05352783203125,0
2015-12-31,-5.590596403199999,-0.042327880859375,8
2016-01-01,2.393541427199998,-0.01611328125,0
2016-01-02,-4.458075648000001,-0.013092041015625,0
2016-01-03,4.653115187199997,-0.0109100341796875,5
2016-01-04,26.1200285696,2.0,5
2016-01-05,38.664674816,3.0,0
2016-01-06,20.549757337600003,-1.25,6
2016-01-07,20.0097150976,-1.125,15
2016-01-08,34.1022486528,-0.453125,19
