,rust-lang/rust,nim-lang/Nim,golang/go
2018-06-16,18,18,3
2018-06-17,18,5,3
2018-06-18,29,3,5
2018-06-19,69,13,9
2018-06-20,74,3,11
2018-06-21,30,0,8
2018-06-22,57,4,13
2018-06-23,45,3,1
2018-06-24,25,6,1
2018-06-25,55,9,10
2018-06-26,131,13,10
2018-06-27,116,12,16
2018-06-28,73,2,10
2018-06-29,39,7,16
2018-06-30,54,4,1
2018-07-01,71,8,2
2018-07-02,69,5,12
2018-07-03,44,2,12
2018-07-04,49,4,4
2018-07-05,44,6,3
2018-07-06,49,10,11
2018-07-07,52,9,4
2018-07-08,25,3,3
2018-07-09,42,9,20
2018-07-10,45,4,18
2018-07-11,74,4,15
2018-07-12,100,8,20
2018-07-13,100,6,14
2018-07-14,118,1,1
2018-07-15,45,3,5
2018-07-16,83,5,15
2018-07-17,65,12,18
2018-07-18,78,6,32
2018-07-19,57,2,34
2018-07-20,89,4,11
2018-07-21,42,6,0
2018-07-22,65,3,0
2018-07-23,62,2,4
2018-07-24,109,2,10
2018-07-25,82,1,3
2018-07-26,79,1,1
2018-07-27,56,3,9
2018-07-28,32,1,9
2018-07-29,56,0,3
2018-07-30,109,21,3
2018-07-31,108,4,20
2018-08-01,120,3,18
2018-08-02,64,2,12
2018-08-03,57,2,14
2018-08-04,68,9,2
2018-08-05,97,9,0
2018-08-06,58,9,3
2018-08-07,104,8,6
2018-08-08,70,17,5
2018-08-09,127,5,16
2018-08-10,46,11,13
2018-08-11,52,1,0
2018-08-12,41,3,1
2018-08-13,53,21,3
2018-08-14,125,7,4
2018-08-15,105,6,0
2018-08-16,116,9,3
2018-08-17,44,8,14
2018-08-18,40,4,8
2018-08-19,83,1,0
2018-08-20,72,5,53
2018-08-21,44,9,53
2018-08-22,118,12,53
2018-08-23,72,21,11
2018-08-24,87,6,28
2018-08-25,43,5,7
2018-08-26,57,4,6
2018-08-27,89,9,3
2018-08-28,61,9,13
2018-08-29,92,2,6
2018-08-30,98,12,29
2018-08-31,78,8,11
2018-09-01,64,1,2
2018-09-02,42,6,3
2018-09-03,74,25,7
2018-09-04,39,10,10
2018-09-05,64,5,17
2018-09-06,93,6,9
2018-09-07,74,17,14
2018-09-08,63,4,3
2018-09-09,47,0,3
2018-09-10,69,3,2
2018-09-11,85,10,7
2018-09-12,71,8,10
2018-09-13,76,4,14
2018-09-14,44,26,6
2018-09-15,69,17,3
2018-09-16,50,12,3
2018-09-17,51,14,12
2018-09-18,61,11,12
2018-09-19,45,9,9
2018-09-20,86,4,8
2018-09-21,50,4,0
2018-09-22,57,12,0
2018-09-23,43,4,2
2018-09-24,41,15,17
2018-09-25,51,8,13
2018-09-26,87,3,11
2018-09-27,35,8,14
2018-09-28,37,11,10
2018-09-29,66,12,4
2018-09-30,59,4,1
2018-10-01,51,11,6
2018-10-02,64,20,27
2018-10-03,42,8,29
2018-10-04,62,3,19
2018-10-05,82,0,15
2018-10-06,48,0,11
2018-10-07,30,0,1
2018-10-08,76,3,5
2018-10-09,76,34,16
2018-10-10,76,6,16
2018-10-11,58,17,17
2018-10-12,69,12,17
2018-10-13,76,16,4
2018-10-14,54,14,3
2018-10-15,123,6,20
2018-10-16,69,17,11
2018-10-17,63,4,18
2018-10-18,73,25,11
2018-10-19,67,13,13
2018-10-20,54,3,2
2018-10-21,36,1,1
2018-10-22,52,4,14
2018-10-23,57,6,24
2018-10-24,58,12,19
2018-10-25,122,11,15
2018-10-26,77,0,11
2018-10-27,49,4,7
2018-10-28,61,14,9
2018-10-29,61,8,12
2018-10-30,70,29,23
2018-10-31,62,8,15
2018-11-01,96,4,10
2018-11-02,62,5,41
2018-11-03,71,5,6
2018-11-04,37,1,2
2018-11-05,99,3,21
2018-11-06,53,9,15
2018-11-07,81,12,6
2018-11-08,56,18,17
2018-11-09,49,6,16
2018-11-10,85,2,7
2018-11-11,60,6,4
2018-11-12,38,1,32
2018-11-13,63,2,19
