,vuejs/core,sveltejs/svelte,facebook/react
2023-02-08,0,-0.4363396275359377,12
2023-02-09,0,-0.23233690499999976,11
2023-02-10,1,-0.16408057228124984,18
2023-02-11,1,-0.1278395555874996,0
2023-02-12,0,-0.09003019128593723,1
2023-02-13,0,0.9318090234531252,9
2023-02-14,0,6.841522353642188,14
2023-02-15,0,-0.7737049390468755,4
2023-02-16,0,1.6313034423921873,20
2023-02-17,0,-0.4201625000000002,10
2023-02-18,0,-0.2507542499999995,0
2023-02-19,0,-0.18297926249999966,0
2023-02-20,0,-0.14455278374999952,8
2023-02-21,5,11.880542313234375,8
2023-02-22,0,5.698298931354687,4
2023-02-23,0,4.679020639748437,2
2023-02-24,0,0.723863373968749,3
2023-02-25,0,-0.9342477050718745,3
2023-02-26,0,2.400961500000001,0
2023-02-27,0,13.248263600000001,7
2023-02-28,0,8.1017160575,5
2023-03-01,0,4.9808187950625,7
2023-03-02,0,3.1283618759593748,7
2023-03-03,0,-1.5760144883453118,22
2023-03-04,0,1.0342247212531266,11
2023-03-05,0,-0.8826519688218735,3
2023-03-06,0,0.3782334384531266,26
2023-03-07,0,-0.5998077398265613,9
2023-03-08,0,2.5569419980906263,19
2023-03-09,0,0.43283130228125044,11
2023-03-10,0,1.6113799421703128,7
2023-03-11,0,-0.4107984051796876,6
2023-03-12,0,-0.21278613853124978,1
2023-03-13,0,0.8460958486781253,9
2023-03-14,0,6.793503899484375,3
2023-03-15,0,6.167924546214062,12
2023-03-16,0,0.8903773397031243,9
2023-03-17,2,1.2078852368765622,10
2023-03-18,0,0.3222102714328128,2
2023-03-19,0,0.4655855324281257,0
2023-03-20,0,1.5406299662500007,8
2023-03-21,0,2.4735832257343757,12
2023-03-22,0,-0.6507529423953122,19
2023-03-23,4,0.596939173639063,5
2023-03-24,1,0.6437802512171878,12
2023-03-25,1,-0.29941103985312467,3
2023-03-26,6,-0.18563398933749972,0
2023-03-27,4,5.871196904448437,16
2023-03-28,32,1.3024041826828123,9
2023-03-29,7,1.4552185933812498,8
2023-03-30,10,4.489547733642187,22
2023-03-31,6,-0.7916370092656251,15
2023-04-01,0,-0.43799266555156224,1
2023-04-02,2,3.696570572464063,1
2023-04-03,2,2.3715677975000005,4
2023-04-04,4,-0.6665050455937498,14
2023-04-05,8,2.593472803753125,12
2023-04-06,11,-0.5595528123531248,8
2023-04-07,0,-0.3260937701499995,4
2023-04-08,6,-0.22849256267968715,0
2023-04-09,1,-0.14584832249999952,1
2023-04-10,3,-0.11990459081249966,10
2023-04-11,12,8.898213613309375,13
2023-04-12,2,1.0415223536421867,2
2023-04-13,6,-0.6337049390468754,3
2023-04-14,0,-0.37169655760781267,3
2023-04-15,10,1.7570375000000007,2
2023-04-16,2,-0.3863757499999996,0
2023-04-17,4,0.7593083875000004,7
2023-04-18,4,24.71683270875,8
2023-04-19,0,0.30537279035937326,11
2023-04-20,13,1.4195402011453118,13
2023-04-21,11,-1.2112842300718758,13
2023-04-22,0,-0.7753666424999982,3
2023-04-23,0,-0.5827048885312484,2
2023-04-24,2,0.5327205361781265,7
2023-04-25,4,-0.474747006765624,9
2023-04-26,0,3.6346261958234383,18
2023-04-27,1,1.299542658804688,7
2023-04-28,0,0.5454360033453124,3
2023-04-29,0,-0.34531330760781265,2
2023-04-30,0,1.8021879875000002,0
2023-05-01,6,-0.3453856962499998,6
2023-05-02,4,1.7948876369843754,11
2023-05-03,0,-0.35221441253593744,12
2023-05-04,0,6.795052342937501,8
2023-05-05,3,4.146940767575,2
2023-05-06,1,-0.9090150430875004,0
2023-05-07,0,-0.48731974503593767,1
2023-05-08,14,5.66740184896875,9
2023-05-09,0,1.1448851524281254,4
2023-05-10,0,0.33814553646875023,3
2023-05-11,6,1.478736358678125,8
2023-05-12,9,1.4515783276406256,6
2023-05-13,0,3.436840967170313,0
2023-05-14,0,1.2791376623203126,0
2023-05-15,0,1.4126720475,5
2023-05-16,0,2.42968221690625,2
2023-05-17,5,1.3311690375031253,15
2023-05-18,16,0.4273305644125003,9
2023-05-19,2,3.5485705789328126,1
2023-05-20,0,0.29714585889687517,2
2023-05-21,0,0.4982423753656253,0
2023-05-22,0,3.5736985338250005,3
2023-05-23,0,6.332193805146876,5
2023-05-24,0,0.9255184508812497,4
2023-05-25,0,8.226145820110938,10
2023-05-26,1,8.6278304344125,4
2023-05-27,0,2.257967686651562,0
2023-05-28,0,-1.367547719409375,0
2023-05-29,0,0.16232796194843835,0
2023-05-30,0,6.283672246651564,2
2023-05-31,0,-1.2300366062531243,13
2023-06-01,0,5.282641014967188,6
2023-06-02,0,-1.0866600347124997,5
2023-06-03,0,-0.6464018379796865,2
2023-06-04,0,1.5807589600781256,3
2023-06-05,0,0.5392018061062507,13
2023-06-06,0,-0.37392468676562457,7
2023-06-07,0,1.7436508813546878,3
2023-06-08,0,4.6048208547484375,10
2023-06-09,0,1.2996941219062499,1
2023-06-10,8,0.42516610978437486,1
2023-06-11,1,-0.409174405,0
2023-06-12,1,1.7322236777187505,1
2023-06-13,0,0.5969012069125004,5
2023-06-14,3,7.6607076924640625,4
2023-06-15,3,0.9809541177187495,13
2023-06-16,0,8.27018632485,13
2023-06-17,0,0.6568794150390618,0
2023-06-18,0,1.1038932069125003,0
2023-06-19,0,7.239492742464063,0
2023-06-20,0,8.69927757771875,13
2023-06-21,0,8.2551846369125,3
2023-06-22,0,23.02285063833906,10
2023-06-23,2,3.3549717624312487,6
2023-06-24,1,0.4030170602874996,0
2023-06-25,0,0.08249770864531336,0
2023-06-26,0,3.5314659738968777,1
2023-06-27,0,2.4410424533031274,7
2023-06-28,1,4.540334024556252,5
2023-06-29,0,3.438676600734376,2
2023-06-30,0,2.540115738000001,3
2023-07-01,0,-1.2957883682578117,0
2023-07-02,0,1.3135636382015634,1
2023-07-03,1,8.333537285110939,5
2023-07-04,0,0.6587801198500003,1
2023-07-05,0,3.060893245257813,5
2023-07-06,0,6.0130531805125,21
2023-07-07,0,0.7021945347062504,1
2023-07-08,0,-0.9219672897421871,7
2023-07-09,7,1.4213755848562508,0
2023-07-10,8,9.388591582718751,0
2023-07-11,13,1.5781097852875001,6
2023-07-12,4,-1.0704686713546874,5
2023-07-13,0,1.3796241441156254,8
2023-07-14,0,0.35288050624687595,10
2023-07-15,0,-0.5174076187828116,0
2023-07-16,0,0.6790445274281256,0
2023-07-17,0,1.6606153739687506,2
2023-07-18,0,4.556342076021876,1
2023-07-19,1,2.22636576059375,1
2023-07-20,0,0.33679153739218726,1
2023-07-21,0,1.53482792771875,2
2023-07-22,0,-0.5055740305874996,0
2023-07-23,0,-0.306887823785937,0
2023-07-24,0,1.7764214819843755,1
2023-07-25,0,-0.37993174731718715,10
2023-07-26,0,1.7666841286000003,3
2023-07-27,0,0.6348830770234376,7
2023-07-28,0,1.7117227368765626,4
2023-07-29,0,-0.3617689785671876,0
2023-07-30,0,-0.2029467300718748,0
2023-07-31,0,0.8679166075000002,0
2023-08-01,0,-0.20290240103124974,4
2023-08-02,0,-0.1293806100718748,4
2023-08-03,0,0.9149456527187502,2
2023-08-04,0,2.8307840894125,7
2023-08-05,0,-0.3886522285671877,0
2023-08-06,0,-0.19345971757187502,0
2023-08-07,0,0.8827438037500001,7
2023-08-08,0,-0.1876725630156248,1
2023-08-09,0,-0.11491111503593732,4
2023-08-10,0,-0.07907973374999987,14
2023-08-11,1,1.9364880982343753,9
2023-08-12,0,0.7467794584171874,1
2023-08-13,0,0.7716414298921874,0
2023-08-14,1,0.7869063037499999,14
2023-08-15,0,0.7756066869843751,6
2023-08-16,0,-0.23479485253593743,16
2023-08-17,0,-0.13660327499999986,14
2023-08-18,0,0.8993713450000003,6
2023-08-19,0,-0.18017158478124984,0
2023-08-20,0,1.8882615231625002,0
2023-08-21,3,0.7292771256984374,4
2023-08-22,2,3.7602766381984374,11
2023-08-23,0,0.4639160844484371,6
2023-08-24,0,1.6286141349640624,2
2023-08-25,0,0.5770103037499998,2
2023-08-26,0,0.6468409119843752,2
2023-08-27,0,-0.3308777575359373,0
2023-08-28,0,1.7861798777187503,2
2023-08-29,0,-0.36529881558749977,14
2023-08-30,1,0.7891309241515627,7
2023-08-31,0,1.7483701218406251,5
2023-09-01,0,-0.3381161873171874,3
2023-09-02,0,-0.1881932143374999,0
2023-09-03,0,-0.12195369055156235,0
2023-09-04,0,0.9119720049640628,0
2023-09-05,5,-0.1645321385312499,13
2023-09-06,2,-0.09921542632187488,3
2023-09-07,0,-0.06025570551562494,14
2023-09-08,0,-0.048197978567187355,4
2023-09-09,0,-0.032914455071874904,0
2023-09-10,0,-0.01316201249999996,0
2023-09-11,0,-0.011093696249999967,9
2023-09-12,0,-0.009568313015624975,3
2023-09-13,0,0.9916011474640625,5
2023-09-14,0,-0.10000000000000009,12
2023-09-15,0,3.955,13
2023-09-16,0,1.5714999999999997,0
2023-09-17,0,-0.40066250000000025,0
2023-09-18,0,0.7798832499999999,7
2023-09-19,1,0.7471879875000003,1
