,minio/minio,seaweedfs/seaweedfs,ceph/ceph
2022-10-31,3.0,9,6.0
2022-11-01,2.6999999999999997,0,5.0
2022-11-02,1.5649999999999995,1,6.0
2022-11-03,1.5794999999999997,1,15.0
2022-11-04,4.5625124999999995,3,8.0
2022-11-05,0.24266224999999986,0,10.0
2022-11-06,-0.5111612874999999,0,7.0
2022-11-07,5.66617437375,1,14.0
2022-11-08,6.147643947203125,0,17.0
2022-11-09,2.826340835845312,0,10.0
2022-11-10,3.965552611360937,2,40.0
2022-11-11,5.891960175146875,1,7.0
2022-11-12,0.6439290336000001,0,6.0
2022-11-13,2.0164980993046884,0,1.0
2022-11-14,2.075625382464063,5,20.0
2022-11-15,4.095064948156251,1,8.0
2022-11-16,3.8978015961750003,0,22.0
2022-11-17,0.8506112114359379,0,14.0
2022-11-18,5.136745376028125,0,14.0
2022-11-19,-1.1548086337890622,0,5.0
2022-11-20,-0.6615919700328117,0,11.0
2022-11-21,-0.43750254536874933,2,28.0
2022-11-22,2.6686114595953137,0,34.0
2022-11-23,0.44846887106406297,1,25.0
2022-11-24,1.574004704742188,2,13.0
2022-11-25,-0.4581930662109374,1,11.0
2022-11-26,1.7453049168343753,0,8.0
2022-11-27,0.6235941347843752,0,5.0
2022-11-28,4.7130722125,0,13.0
2022-11-29,1.3193233987499997,0,31.0
2022-11-30,1.439052339703125,2,24.0
2022-12-01,3.4576517368765627,1,29.0
2022-12-02,4.279711246432813,0,17.0
2022-12-03,-0.911055860071875,0,17.0
2022-12-04,2.4914011152187503,0,35.0
2022-12-05,5.334457975662501,3,25.0
2022-12-06,5.992468664885938,2,16.0
2022-12-07,3.7279499187890623,1,42.0
2022-12-08,3.8058933213968746,1,25.0
2022-12-09,0.7926353116156251,0,46.0
2022-12-10,0.07023898727812572,0,18.0
2022-12-11,-0.7028771764296866,3,5.0
2022-12-12,4.5267025459531265,3,36.0
2022-12-13,6.123518878048438,1,30.0
2022-12-14,2.7834541499250003,0,33.0
2022-12-15,2.9379572109203123,0,28.0
2022-12-16,-0.007997732757812459,0,30.0
2022-12-17,-0.6914458349609368,1,1.0
2022-12-18,2.553356669412501,1,6.0
2022-12-19,3.368381578714063,4,19.0
2022-12-20,1.2017250111718754,1,21.0
2022-12-21,0.3123879612109377,7,15.0
2022-12-22,5.479410482685938,0,23.0
2022-12-23,4.08403739154375,1,7.0
2022-12-24,1.0130582393406249,0,4.0
2022-12-25,-0.7432239912859375,0,15.0
2022-12-26,0.5280045009531256,1,5.0
2022-12-27,0.5441677853296883,0,5.0
2022-12-28,-0.4097065574249993,1,2.0
2022-12-29,2.7355282419125007,1,4.0
2022-12-30,1.5032362631203127,0,2.0
2022-12-31,0.5077986772062502,0,2.0
2023-01-01,0.6340903487890626,3,2.0
2023-01-02,1.6949590861781252,0,4.0
2023-01-03,2.6161627407343753,5,11.0
2023-01-04,4.471150796948438,3,10.0
2023-01-05,1.2032167837140624,3,12.0
2023-01-06,2.368003905953125,2,13.0
2023-01-07,-0.6953098923890624,0,4.0
2023-01-08,0.5925535106625006,0,5.0
2023-01-09,-0.387049345551562,4,23.0
2023-01-10,1.7341523701828132,10,14.0
2023-01-11,0.5958545996312503,1,29.0
2023-01-12,6.654625947314063,0,32.0
2023-01-13,3.0874712725390623,2,31.0
2023-01-14,-0.8434896566187503,2,0.0
2023-01-15,-0.4686862538578125,0,4.0
2023-01-16,3.6893534119843756,7,10.0
2023-01-17,0.36078449246406297,4,16.0
2023-01-18,1.5331685902187504,0,7.0
2023-01-19,3.4843300581625,0,20.0
2023-01-20,3.2790981713546876,1,13.0
2023-01-21,3.1808052801859374,0,4.0
2023-01-22,-0.8376852101437501,0,10.0
2023-01-23,3.5335797025000004,1,23.0
2023-01-24,3.2631920266875003,0,17.0
2023-01-25,5.154883834340625,0,32.0
2023-01-26,3.9169746864328125,0,16.0
2023-01-27,2.8812562078656248,0,8.0
2023-01-28,-1.0593604472062499,1,8.0
2023-01-29,-0.6354587122062493,1,7.0
2023-01-30,1.555368754856251,3,15.0
2023-01-31,3.475146137937501,1,10.0
2023-02-01,1.2412920977937503,5,15.0
2023-02-02,2.3638781805125,1,15.0
2023-02-03,1.31206553470625,0,3.0
2023-02-04,0.4128489852578128,0,0.0
2023-02-05,0.5587885648562503,0,2.0
2023-02-06,6.6289435575,3,5.0
2023-02-07,4.04698931396875,6,21.0
2023-02-08,6.986859612865625,0,50.0
2023-02-09,4.626383600074999,2,15.0
2023-02-10,5.65589370088125,7,8.0
2023-02-11,-0.4827186423890626,0,1.0
2023-02-12,-0.9614775518374992,0,8.0
2023-02-13,6.341157898198439,0,25.0
2023-02-14,2.7940203751046884,0,43.0
2023-02-15,0.877165072170313,1,22.0
2023-02-16,4.127146218195313,0,26.0
2023-02-17,5.9359439153687505,3,20.0
2023-02-18,0.6940677474250001,4,9.0
2023-02-19,-0.9237863682671872,2,7.0
2023-02-20,2.436251223714063,2,31.0
2023-02-21,0.2801017488906259,3,15.0
2023-02-22,11.425795075185938,5,41.0
2023-02-23,-0.5630681049250006,0,33.0
2023-02-24,2.1008933311,0,12.0
2023-02-25,4.112827403710938,1,19.0
2023-02-26,-0.04498138128281193,0,6.0
2023-02-27,8.312195693678126,0,33.0
2023-02-28,0.6366529647031249,3,84.0
2023-03-01,0.03378601187656305,0,30.0
2023-03-02,1.2784554075265628,3,25.0
2023-03-03,2.286475055303126,0,19.0
2023-03-04,1.289389964667188,0,2.0
2023-03-05,0.352514068564063,0,4.0
2023-03-06,2.489328383054688,0,22.0
2023-03-07,2.3739159253234376,1,53.0
2023-03-08,2.3146807298953127,4,33.0
2023-03-09,2.3385645519125,1,19.0
2023-03-10,1.3142551576828128,0,27.0
2023-03-11,0.38831020088125023,0,8.0
2023-03-12,0.519249332610938,0,13.0
2023-03-13,2.5885291056625004,2,32.0
2023-03-14,0.42695383216718774,1,22.0
2023-03-15,4.5569353770953125,4,32.0
2023-03-16,2.219214139595312,2,12.0
2023-03-17,2.2791448483453127,1,10.0
2023-03-18,0.2848983576109374,0,0.0
2023-03-19,-0.5168750018374996,0,4.0
2023-03-20,6.662518483198438,7,3.0
2023-03-21,4.047154699667187,1,17.0
2023-03-22,2.9862678606265627,1,18.0
2023-03-23,3.030375706135937,0,16.0
2023-03-24,2.0157201970234375,0,18.0
2023-03-25,0.12487505709531288,1,3.0
2023-03-26,0.3608672918765632,4,2.0
2023-03-27,1.4705182112140633,0,20.0
2023-03-28,0.4249507776406257,0,12.0
2023-03-29,2.508830882170313,1,40.0
2023-03-30,4.397092412757813,0,44.0
2023-03-31,5.16074648654375,1,27.0
2023-04-01,-1.0499520579406254,0,1.0
2023-04-02,-0.5627868418734373,0,2.0
2023-04-03,0.6240206794484381,2,17.0
2023-04-04,6.617326037682814,1,19.0
2023-04-05,2.0328423306625,1,22.0
2023-04-06,7.184955652167187,0,21.0
2023-04-07,9.705237199814063,0,7.0
2023-04-08,-1.805658390773438,0,4.0
2023-04-09,0.03864012228437519,0,9.0
2023-04-10,0.2696219662500008,2,21.0
2023-04-11,1.3720682757343765,1,24.0
2023-04-12,5.335261517604689,6,25.0
2023-04-13,3.939808885701563,0,6.0
2023-04-14,1.9124470295171876,1,14.0
2023-04-15,3.060953974040625,0,4.0
2023-04-16,-0.9503515866453122,1,7.0
2023-04-17,3.487500965734376,1,16.0
2023-04-18,1.2243021169484378,5,15.0
2023-04-19,1.329092031432813,0,9.0
2023-04-20,0.3623708980843754,1,31.0
2023-04-21,3.486186180956251,2,3.0
2023-04-22,-0.7228659867265623,1,3.0
2023-04-23,-0.39817635967031206,1,3.0
2023-04-24,1.7288097798562503,3,9.0
2023-04-25,2.6144485804375006,1,18.0
2023-04-26,5.457451558825,0,17.0
2023-04-27,6.108323922646875,1,26.0
2023-04-28,4.8324341969125,0,8.0
2023-04-29,-0.22689310459843792,1,3.0
2023-04-30,0.19825531485625025,0,3.0
2023-05-01,0.38098857000000075,1,26.0
2023-05-02,4.458317960218751,0,24.0
2023-05-03,8.10493809088125,0,19.0
2023-05-04,3.5704863655484376,1,26.0
2023-05-05,-0.28137474632500026,0,15.0
2023-05-06,4.158613195404688,0,11.0
2023-05-07,-0.038263386981249425,3,5.0
2023-05-08,3.303265825698438,1,54.0
2023-05-09,4.119359990698438,0,35.0
2023-05-10,0.9501770036359378,4,31.0
2023-05-11,4.163014176429688,1,19.0
2023-05-12,3.968398253348438,0,8.0
2023-05-13,-0.06997256944531216,0,1.0
2023-05-14,-0.7093909138640622,0,1.0
2023-05-15,2.5152065768046885,0,26.0
2023-05-16,8.359139139151564,3,13.0
2023-05-17,3.694319319778125,0,20.0
2023-05-18,2.810973817539062,0,34.0
2023-05-19,2.9232427360999997,2,36.0
2023-05-20,-1.057742274007812,0,5.0
2023-05-21,0.3665881368046884,2,7.0
2023-05-22,3.4626281962140633,2,46.0
2023-05-23,2.2135247322031257,0,23.0
2023-05-24,0.2076050940015629,1,18.0
2023-05-25,6.409883427098438,0,32.0
2023-05-26,7.946090950257813,0,21.0
2023-05-27,0.5450148252937494,0,2.0
2023-05-28,0.02915009360624987,0,4.0
2023-05-29,0.2993166144843755,2,8.0
2023-05-30,3.4061050441515635,2,22.0
2023-05-31,5.174596117059376,1,18.0
2023-06-01,1.9077251431265627,0,13.0
2023-06-02,3.077676415104688,0,5.0
2023-06-03,1.0149770601078127,2,9.0
2023-06-04,1.2270759923953132,1,1.0
2023-06-05,1.3472042356625005,5,28.0
2023-06-06,2.380685724448438,4,25.0
2023-06-07,4.294487680401563,1,20.0
2023-06-08,1.0575070730125002,0,11.0
2023-06-09,0.26614463573750025,1,10.0
2023-06-10,0.46129777282968787,0,3.0
2023-06-11,2.5450937963250007,1,7.0
2023-06-12,5.406983488896875,2,9.0
2023-06-13,3.0485785176468747,2,21.0
2023-06-14,1.08042559963125,3,16.0
2023-06-15,7.262508222314063,0,48.0
2023-06-16,1.7382881525390625,1,20.0
2023-06-17,1.0267037481625003,2,4.0
2023-06-18,2.2009876706984377,2,4.0
2023-06-19,2.1706524809171883,0,21.0
2023-06-20,4.163773254298438,8,33.0
2023-06-21,4.973674890221876,0,13.0
2023-06-22,1.8143113563250002,0,27.0
2023-06-23,6.024212927053125,0,11.0
2023-06-24,-0.315231939334375,1,5.0
2023-06-25,1.1778409401109382,7,45.0
2023-06-26,1.2522182046312507,9,17.0
2023-06-27,3.3001701970953135,0,17.0
2023-06-28,1.140433912314063,0,29.0
2023-06-29,1.280738932976563,0,16.0
2023-06-30,2.3525255594875003,0,8.0
2023-07-01,-0.6914759699671871,0,4.0
2023-07-02,-0.41466369826718696,0,8.0
2023-07-03,2.738570578932813,1,24.0
2023-07-04,0.49914585889687535,2,30.0
2023-07-05,1.6130673753656253,1,8.0
2023-07-06,6.555094533825,3,34.0
2023-07-07,6.0502970801468745,1,26.0
2023-07-08,6.81348460588125,1,1.0
2023-07-09,-0.4366243451078131,0,4.0
2023-07-10,4.11718589875,1,16.0
2023-07-11,6.903422589703125,4,25.0
2023-07-12,1.5192963993765631,1,11.0
2023-07-13,6.850578060182813,1,26.0
2023-07-14,2.45084288006875,0,25.0
2023-07-15,1.6809345086390632,0,1.0
2023-07-16,-1.1111637306265618,1,8.0
2023-07-17,2.299826035446876,3,24.0
2023-07-18,3.2184399748859382,0,16.0
2023-07-19,4.081427544445313,1,17.0
2023-07-20,1.9488563706656252,0,13.0
2023-07-21,4.113408615767188,0,15.0
2023-07-22,0.9527545889000002,1,5.0
2023-07-23,0.2199341133093755,0,6.0
2023-07-24,3.413803053642188,2,47.0
2023-07-25,1.2074474634531254,0,37.0
2023-07-26,3.311166921579688,0,14.0
2023-07-27,6.162575873528125,0,15.0
2023-07-28,2.8117415420234373,0,10.0
2023-07-29,1.9568204723140625,0,0.0
2023-07-30,1.0807438650390626,0,5.0
2023-07-31,5.244830671912501,0,22.0
2023-08-01,3.907525202901563,1,47.0
2023-08-02,1.8573045913250004,0,30.0
2023-08-03,4.028949869115626,0,28.0
2023-08-04,3.8818570762468756,0,17.0
2023-08-05,1.832816666435938,0,2.0
2023-08-06,-0.9735310666906246,0,12.0
2023-08-07,0.39413182636093835,0,24.0
2023-08-08,1.461441648084376,0,38.0
2023-08-09,2.4151029184562507,2,63.0
2023-08-10,5.341172004523438,1,32.0
2023-08-11,3.0193448585640623,0,23.0
2023-08-12,-0.9360586665078126,0,0.0
2023-08-13,-0.5290822142265622,1,3.0
2023-08-14,0.6510604711421881,0,18.0
2023-08-15,6.649407756984376,0,30.0
2023-08-16,3.050744357682812,0,25.0
2023-08-17,1.09178712838125,8,25.0
2023-08-18,1.2728562792984375,0,9.0
2023-08-19,1.3465793827218755,1,1.0
2023-08-20,0.41077532735625044,3,1.0
2023-08-21,4.5439802162500005,5,16.0
2023-08-22,1.1845692632343752,6,33.0
2023-08-23,2.3268656463546877,5,20.0
2023-08-24,4.269027362685938,1,24.0
2023-08-25,4.087327296325,0,15.0
2023-08-26,0.9963075138968749,1,5.0
2023-08-27,0.22544091014687517,3,5.0
2023-08-28,0.40767872566250063,7,28.0
2023-08-29,3.496189902385938,2,22.0
2023-08-30,4.244369210039063,0,57.0
2023-08-31,2.0718228121312503,1,10.0
2023-09-01,5.169390121064063,2,12.0
2023-09-02,0.8985480172421876,1,0.0
2023-09-03,-0.8086660974609371,0,4.0
2023-09-04,2.5063209856625006,0,7.0
2023-09-05,0.34252273694843816,4,20.0
2023-09-06,5.485347876651563,3,31.0
2023-09-07,3.043576361028125,3,23.0
2023-09-08,-0.9240729042265623,1,19.0
2023-09-09,0.4751934217984377,0,5.0
2023-09-10,-0.4631075287468744,0,12.0
2023-09-11,2.7124086936781255,3,74.0
2023-09-12,3.4882622897031252,1,31.0
2023-09-13,5.290362401876562,1,17.0
2023-09-14,6.008199734370312,1,21.0
2023-09-15,4.752184120221875,1,13.0
2023-09-16,1.7383106436062497,7,2.0
2023-09-17,0.9930036494843753,4,2.0
2023-09-18,2.1583340087140632,9,13.0
2023-09-19,6.135655950953126,8,24.0
2023-09-20,1.727145925329688,0,30.0
2023-09-21,3.9621915130125007,9,40.0
2023-09-22,2.8478594786750002,6,45.0
2023-09-23,-0.07929470959531182,10,10.0
2023-09-24,-0.7380762342624994,2,5.0
2023-09-25,5.5195888901109385,20,21.0
2023-09-26,4.045621694631251,4,33.0
2023-09-27,-0.046395399967187334,1,14.0
2023-09-28,0.29226981195156265,3,12.0
2023-09-29,5.457950079814063,0,9.0
2023-09-30,5.035125789007813,3,10.0
2023-10-01,-0.12188204815937498,6,5.0
2023-10-02,1.2814496574640626,6,28.0
2023-10-03,0.3178678781562505,8,21.0
2023-10-04,0.43833411095625086,0,37.0
2023-10-05,-0.4609913469453119,4,47.0
2023-10-06,4.705556831948438,1,20.0
2023-10-07,0.2730710793703126,0,5.0
2023-10-08,2.493000035440625,1,9.0
2023-10-09,-0.5989275832312501,1,33.0
2023-10-10,10.681396312682812,1,32.0
2023-10-11,0.6757940356624994,0,15.0
2023-10-12,8.143118521948438,3,26.0
2023-10-13,2.571120403714062,6,16.0
2023-10-14,1.8122912011718755,0,9.0
2023-10-15,-1.0399529144453121,1,9.0
2023-10-16,2.3509180709171886,1,8.0
2023-10-17,1.2132480086421884,0,8.0
2023-10-18,4.292648551828126,1,20.0
2023-10-19,-0.9878655701765622,2,21.0
2023-10-20,1.4692391552875006,1,31.0
2023-10-21,1.420680736364063,0,1.0
2023-10-22,-0.5273323866906245,2,18.0
2023-10-23,1.687614578642188,0,5.0
2023-10-24,7.5849726059531255,2,15.0
2023-10-25,4.936639835110937,0,7.0
2023-10-26,3.8598032048499995,1,7.0
2023-10-27,-1.1298306801796878,0,13.0
2023-10-28,2.3651424814687507,0,1.0
2023-10-29,0.2423326438968757,0,6.0
2023-10-30,4.420705802428126,3,30.0
2023-10-31,1.1020579789687504,0,19.0
2023-11-01,3.2587960508031255,5,21.0
2023-11-02,1.11841807036875,0,41.0
2023-11-03,3.3058500322062505,0,65.0
2023-11-04,-0.8143461139296874,0,23.0
2023-11-05,0.5425078022031256,1,5.0
2023-11-06,2.5636506231265628,1,68.0
2023-11-07,-0.590959360114062,1,37.0
2023-11-08,3.640203301289063,1,15.0
2023-11-09,3.363931100365625,3,26.0
2023-11-10,1.244788928825,1,10.0
2023-11-11,3.389416780365625,0,16.0
2023-11-12,-0.77082514389375,0,6.0
2023-11-13,1.5730335982343755,10,16.0
2023-11-14,4.490456158417188,1,34.0
2023-11-15,0.17289710739218778,0,23.0
2023-11-16,3.4445609379375,1,9.0
2023-11-17,3.22447089529375,2,28.0
2023-11-18,1.1588471788250003,1,6.0
2023-11-19,1.3233587678656251,0,14.0
2023-11-20,1.3756403848562504,13,16.0
2023-11-21,6.418115880218751,8,24.0
2023-11-22,4.9188269836,0,12.0
2023-11-23,-0.19414391069531267,1,34.0
2023-11-24,3.2395705854015624,21,16.0
2023-11-25,-0.9132510797062495,0,3.0
2023-11-26,0.45346429632500096,6,5.0
2023-11-27,2.5183811888968757,2,15.0
2023-11-28,9.363670970146876,0,7.0
2023-11-29,-0.39146708618125037,0,42.0
2023-11-30,4.163893907904687,1,73.0
2023-12-01,2.98755953676875,0,17.0
2023-12-02,4.031690632901563,0,8.0
2023-12-03,-1.0885051438937499,0,7.0
2023-12-04,3.3671012232343758,0,46.0
2023-12-05,3.133063483417188,1,18.0
2023-12-06,5.054437053485938,2,38.0
2023-12-07,2.823742880375,2,28.0
2023-12-08,4.9669247348859376,0,18.0
2023-12-09,0.7661470040078124,1,6.0
2023-12-10,-0.9065270252218744,0,11.0
2023-12-11,-0.5793675976796867,1,52.0
2023-12-12,1.5929378879375011,2,19.0
2023-12-13,4.470895610293751,4,35.0
2023-12-14,7.1634143517625,2,12.0
2023-12-15,0.7364474302218746,0,16.0
2023-12-16,0.14298231926249994,0,6.0
2023-12-17,-0.6230757412468747,0,8.0
2023-12-18,1.608994519928126,0,18.0
2023-12-19,2.513243545000001,0,20.0
2023-12-20,1.3772027927187505,1,15.0
2023-12-21,1.4121703848500002,3,9.0
2023-12-22,6.429284828195312,8,9.0
2023-12-23,0.9613578574312498,3,0.0
2023-12-24,-0.7143652930875,2,4.0
2023-12-25,0.5668692174640627,0,2.0
2023-12-26,-0.4126127397812493,0,9.0
2023-12-27,2.706843688381251,1,11.0
2023-12-28,0.48061183636093774,5,12.0
2023-12-29,1.6044232701468752,3,0.0
2023-12-30,1.54741996131875,0,2.0
2023-12-31,-0.4715781062828123,1,2.0
2024-01-01,0.7560958486781252,1,6.0
2024-01-02,3.7365038994843753,8,42.0
2024-01-03,-0.5734004537859374,6,16.0
2024-01-04,1.693143839703125,0,23.0
2024-01-05,2.5820612118765625,12,24.0
2024-01-06,0.46151037893281266,2,11.0
2024-01-07,-0.40556334360312485,0,1.0
2024-01-08,2.7476355486781254,4,25.0
2024-01-09,1.523335901984375,3,47.0
2024-01-10,2.5229911204015627,1,56.0
2024-01-11,3.41311440985625,4,12.0
2024-01-12,2.2804327727187497,9,8.0
2024-01-13,3.28822840963125,0,2.0
2024-01-14,-0.8174719081234375,2,4.0
2024-01-15,0.5354957837140629,2,3.0
2024-01-16,4.569167130953126,15,31.0
2024-01-17,1.1937374276109378,4,22.0
2024-01-18,6.35266953338125,15,32.0
2024-01-19,3.897438551579687,1,7.0
2024-01-20,-0.09810438419062506,2,24.0
2024-01-21,-0.7230405721703123,3,4.0
2024-01-22,2.5251298311062507,15,17.0
2024-01-23,0.36400943073437575,0,25.0
2024-01-24,12.493191852385937,6,38.0
2024-01-25,0.34878642503906176,4,140.0
2024-01-26,2.97210611006875,3,14.0
2024-01-27,1.9527600209203122,2,2.0
2024-01-28,4.087222136804688,12,12.0
2024-01-29,6.945315296214063,5,36.0
2024-01-30,6.5637117022031255,3,56.0
2024-01-31,5.365738553126563,3,36.0
2024-02-01,2.3527148857609372,1,20.0
2024-02-02,5.598933718501563,2,11.0
2024-02-03,1.4721038916156255,1,12.0
2024-02-04,-0.22563643044062398,7,21.0
2024-02-05,5.102948957314064,2,25.0
2024-02-06,8.760971075695313,8,12.0
2024-02-07,2.2526540018375005,1,38.0
2024-02-08,4.6393093661031255,0,34.0
2024-02-09,2.580701118935938,0,16.0
2024-02-10,-1.234342202503124,0,5.0
2024-02-11,0.2276198219515635,0,9.0
2024-02-12,8.364610826876564,0,21.0
2024-02-13,5.646255756870313,0,27.0
2024-02-14,7.532609894628125,5,31.0
2024-02-15,2.2663654950781247,1,15.0
2024-02-16,0.6580406767625002,0,23.0
2024-02-17,0.9719833702218756,0,8.0
2024-02-18,-0.8659269688937488,0,6.0
2024-02-19,1.4237535832343764,2,15.0
2024-02-20,4.3465803440734385,1,39.0
2024-02-21,4.041382319817188,0,29.0
2024-02-22,3.9701609051078126,1,25.0
2024-02-23,0.9288006576140624,0,11.0
2024-02-24,1.2220345713250003,3,1.0
2024-02-25,1.3213453938968756,1,3.0
2024-02-26,4.364308589928125,2,17.0
2024-02-27,2.09067608021875,1,25.0
2024-02-28,6.158523686100001,0,35.0
2024-02-29,4.7773131659921875,6,34.0
2024-03-01,4.725606754742188,2,30.0
2024-03-02,0.6782864437890626,0,9.0
2024-03-03,3.0420804638968755,0,7.0
2024-03-04,1.9713189001468756,0,46.0
2024-03-05,6.052270053600001,1,39.0
2024-03-06,3.6856473495234376,2,37.0
2024-03-07,5.746907498782813,11,28.0
2024-03-08,1.5399574516546877,0,22.0
2024-03-09,1.8668738141906256,3,2.0
2024-03-10,2.9959796862531256,1,6.0
2024-03-11,0.9737926166156257,0,40.0
2024-03-12,2.153928964559376,3,19.0
2024-03-13,0.1458849325328131,0,14.0
2024-03-14,1.3532243059203133,1,39.0
2024-03-15,3.381968419960938,1,24.0
2024-03-16,-0.7861470455484372,13,4.0
2024-03-17,-0.4306130566546871,12,7.0
2024-03-18,4.703415010329688,3,24.0
2024-03-19,4.2859413625750005,3,41.0
2024-03-20,3.12761263463125,2,90.0
2024-03-21,5.122899686876562,6,47.0
2024-03-22,-0.09772276356718779,11,30.0
2024-03-23,-0.7229672071343746,0,5.0
2024-03-24,-0.47863922264374936,6,7.0
2024-03-25,0.661779456250001,5,31.0
2024-03-26,8.626678903671875,0,37.0
2024-03-27,2.8257005622421874,5,28.0
2024-03-28,14.006508295257813,10,28.0
2024-03-29,1.9407385155124985,2,15.0
2024-03-30,0.5489593217687498,1,9.0
2024-03-31,-1.0567616150359374,5,7.0
2024-04-01,0.2920436912500015,5,26.0
2024-04-02,4.356539120734377,5,119.0
2024-04-03,2.0128893578234384,3,35.0
2024-04-04,7.081350081364063,1,24.0
2024-04-05,2.6540185846218747,0,10.0
2024-04-06,1.8486273173984378,1,3.0
2024-04-07,-0.9164652986749999,2,5.0
2024-04-08,5.443648286178126,4,22.0
2024-04-09,0.9983931682343754,0,31.0
2024-04-10,3.2087278936359382,0,190.0
