,gogs/gogs,gitbucket/gitbucket,gitlabhq/gitlabhq
2014-05-12,11,2,13.0
2014-05-13,8,1,25.4
2014-05-14,10,0,13.36
2014-05-15,8,0,8.136
2014-05-16,9,2,3.6191999999999975
2014-05-17,0,0,-4.432768000000001
2014-05-18,3,11,0.6274175999999976
2014-05-19,5,0,14.83322624
2014-05-20,0,1,8.243395584
2014-05-21,2,0,-1.9308838911999988
2014-05-22,1,0,24.9609791488
2014-05-23,0,0,21.846157312000003
2014-05-24,6,0,0.12839270399999947
2014-05-25,0,1,-6.858410496000003
2014-05-26,9,0,30.022751641599996
2014-05-27,0,0,16.3439105024
2014-05-28,4,1,18.8919016448
2014-05-29,1,0,26.896779366399997
2014-05-30,5,1,0.5103893504000006
2014-05-31,1,5,-3.9363337216000005
2014-06-01,5,5,-5.994872832000002
2014-06-02,1,6,13.399305215999998
2014-06-03,4,0,45.069519872
2014-06-04,1,1,14.487688294400002
2014-06-05,1,4,13.318518681599999
2014-06-06,3,3,9.085772902399999
2014-06-07,1,3,-0.6761004032000013
2014-06-08,4,0,-4.875814297600002
2014-06-09,0,4,-1.4783263744000017
2014-06-10,1,2,36.3663911936
2014-06-11,2,0,15.469110988800004
2014-06-12,6,0,5.837090611200001
2014-06-13,1,0,14.9655512064
2014-06-14,0,5,19.2073573376
2014-06-15,0,6,-7.0284048384
2014-06-16,0,2,4.394183679999997
2014-06-17,1,0,9.506955980799997
2014-06-18,0,0,10.696651366400001
2014-06-19,1,2,4.039298969600001
2014-06-20,2,2,6.3403159552
2014-06-21,3,0,-3.3723701247999998
2014-06-22,5,2,-0.23830773759999957
2014-06-23,6,1,22.5409352704
2014-06-24,6,1,37.7460798464
2014-06-25,10,1,12.378039193600001
2014-06-26,1,1,24.0138085376
2014-06-27,3,0,-7.814178611200001
2014-06-28,12,3,-7.645103820800003
2014-06-29,4,6,-4.873240371200002
2014-06-30,2,5,18.491250380799997
2014-07-01,0,0,8.841859686400001
2014-07-02,1,0,14.802493849600001
2014-07-03,0,0,12.648607232000003
2014-07-04,9,0,12.632862720000002
2014-07-05,5,4,-3.543757824
2014-07-06,3,9,-5.3475563520000025
2014-07-07,2,0,5.625359359999998
2014-07-08,0,2,4.681353216000001
2014-07-09,0,0,12.4698222592
2014-07-10,0,0,14.019814809600001
2014-07-11,0,0,9.8715272192
2014-07-12,4,2,-6.9968559104
2014-07-13,0,10,-0.6386781184000014
2014-07-14,0,1,7.079341567999999
2014-07-15,1,0,12.048960512
2014-07-16,1,2,12.4838441984
2014-07-17,0,0,10.4965607424
