,nodejs/node,ruby/ruby,python/cpython
2017-05-16,12,28,9
2017-05-17,6,12,7
2017-05-18,7,7,4
2017-05-19,12,25,3
2017-05-20,8,18,4
2017-05-21,5,14,2
2017-05-22,21,9,10
2017-05-23,23,13,14
2017-05-24,12,14,15
2017-05-25,19,17,5
2017-05-26,18,18,2
2017-05-27,9,22,9
2017-05-28,5,15,5
2017-05-29,14,15,5
2017-05-30,9,10,4
2017-05-31,9,5,2
2017-06-01,19,17,7
2017-06-02,30,7,5
2017-06-03,8,9,2
2017-06-04,2,2,5
2017-06-05,21,6,3
2017-06-06,12,10,10
2017-06-07,27,8,5
2017-06-08,11,11,9
2017-06-09,15,7,17
2017-06-10,14,2,13
2017-06-11,5,3,11
2017-06-12,8,10,7
2017-06-13,17,5,18
2017-06-14,11,8,10
2017-06-15,7,13,5
2017-06-16,16,8,12
2017-06-17,6,2,3
2017-06-18,8,6,1
2017-06-19,12,5,1
2017-06-20,10,7,8
2017-06-21,7,11,6
2017-06-22,8,11,4
2017-06-23,12,19,15
2017-06-24,6,3,6
2017-06-25,0,3,3
2017-06-26,6,9,8
2017-06-27,6,6,8
2017-06-28,13,15,14
2017-06-29,17,9,5
2017-06-30,12,3,10
2017-07-01,2,6,2
2017-07-02,23,1,2
2017-07-03,12,7,3
2017-07-04,8,7,6
2017-07-05,13,3,7
2017-07-06,8,5,4
2017-07-07,8,9,5
2017-07-08,3,3,3
2017-07-09,10,6,2
2017-07-10,4,4,6
2017-07-11,9,2,6
2017-07-12,15,7,4
2017-07-13,10,5,5
2017-07-14,11,13,4
2017-07-15,1,4,3
2017-07-16,11,7,2
2017-07-17,34,2,4
2017-07-18,7,12,5
2017-07-19,23,10,2
2017-07-20,8,8,5
2017-07-21,12,6,8
2017-07-22,4,7,3
2017-07-23,7,2,3
2017-07-24,13,2,9
2017-07-25,10,4,8
2017-07-26,14,8,8
2017-07-27,13,11,6
2017-07-28,2,5,8
2017-07-29,6,4,3
2017-07-30,7,6,6
2017-07-31,4,3,5
2017-08-01,26,5,8
2017-08-02,7,15,3
2017-08-03,5,13,5
2017-08-04,32,9,4
2017-08-05,4,2,1
2017-08-06,1,2,0
2017-08-07,12,4,3
2017-08-08,13,3,2
2017-08-09,2,3,8
2017-08-10,30,18,8
2017-08-11,10,4,1
2017-08-12,4,5,2
2017-08-13,16,6,0
2017-08-14,16,7,5
2017-08-15,2,12,6
2017-08-16,15,3,3
2017-08-17,21,8,6
2017-08-18,10,3,19
2017-08-19,0,6,0
2017-08-20,6,1,4
2017-08-21,9,4,9
2017-08-22,7,14,5
2017-08-23,28,5,1
2017-08-24,22,3,5
2017-08-25,10,7,5
2017-08-26,6,6,2
2017-08-27,6,5,2
2017-08-28,4,8,4
2017-08-29,14,10,5
2017-08-30,20,7,7
2017-08-31,2,12,0
2017-09-01,9,9,6
2017-09-02,0,8,0
