,tensorflow/tensorflow,apache/mxnet,pytorch/pytorch
2020-12-25,6,0.0,1
2020-12-26,2,0.0,0
2020-12-27,6,0.0,0
2020-12-28,48,0.0,7
2020-12-29,42,0.0,8
2020-12-30,54,1.0,13
2020-12-31,20,0.8,5
2021-01-01,5,0.72,1
2021-01-02,7,-0.32800000000000007,0
2021-01-03,7,-0.16160000000000013,1
2021-01-04,27,0.8928639999999999,21
2021-01-05,86,1.7204352,40
2021-01-06,85,-0.54289152,46
2021-01-07,79,-0.25974323200000016,28
2021-01-08,91,-0.17338378240000002,43
2021-01-09,15,-0.11959306239999994,8
2021-01-10,8,-0.0839701504,4
2021-01-11,82,-0.05778432000000003,28
2021-01-12,112,0.951758848,43
2021-01-13,107,-0.2412447743999998,33
2021-01-14,74,-0.1049387008,27
2021-01-15,73,1.952,23
2021-01-16,21,0.5664,11
2021-01-17,8,-0.3855360000000001,1
2021-01-18,28,-0.19642880000000015,7
2021-01-19,62,-0.13212672000000006,30
2021-01-20,100,1.9009402880000001,44
2021-01-21,95,-0.47886295039999993,28
2021-01-22,104,-0.21428224000000018,45
2021-01-23,24,-0.14170214399999997,13
2021-01-24,17,-0.10652641279999989,2
2021-01-25,98,-0.06354135039999999,20
2021-01-26,75,-0.04085760000000002,30
2021-01-27,109,-0.03385344000000002,35
2021-01-28,90,0.9712245760000001,49
2021-01-29,73,0.7750612992000001,37
2021-01-30,44,-0.28,9
2021-01-31,4,0.8719999999999999,3
2021-02-01,74,-0.2816,23
2021-02-02,100,0.8608639999999999,61
2021-02-03,86,2.7060352,44
2021-02-04,95,-0.75095552,68
2021-02-05,78,1.6551495679999997,37
2021-02-06,27,-0.6248858624,13
2021-02-07,6,1.6842679295999998,3
2021-02-08,72,0.3925754880000001,25
2021-02-09,79,-0.5178824704000001,28
2021-02-10,93,-0.2922398720000001,37
2021-02-11,71,-0.21169008639999987,42
2021-02-12,82,-0.15593349119999997,17
2021-02-13,38,-0.09516902399999992,11
2021-02-14,4,-0.07922094079999996,12
2021-02-15,48,1.9542978560000002,3
2021-02-16,54,2.5606735872,10
