,AMS_ij,normalized_AMS_ij,normalized_last
Kotlin/kotlinx.coroutines -> reactor/reactor-core,-0.18790694409301556,-7.9546465928693415,-7.0176422007390675
reactivex/rxjava -> reactor/reactor-core,-2.06173238040427,-92.4953755520745,-6.511615415685893
reactor/reactor-core -> Kotlin/kotlinx.coroutines,0.10205170249733173,8.058010156375488,2.1789702594980738
reactivex/rxjava -> Kotlin/kotlinx.coroutines,-2.79320488656452,-212.5676797929592,-39.22470206167875
reactor/reactor-core -> reactivex/rxjava,0.02031800802140793,1.9162879791305905,-1.5008983295819713
Kotlin/kotlinx.coroutines -> reactivex/rxjava,-0.41876608309946994,-80.03369691888065,-34.45388345242048
